MWP	ONames	GLON	GLAT	Width	Height	Reff	Hit	Flag	_RA.icrs	_DE.icrs
1G296460-006600S	    	296.460	-00.660	 0.53	 0.55	 0.38	 0.19	 	178.5787	-62.8118
1G298510-005100S	    	298.510	-00.510	 0.68	 0.74	 0.50	 0.19	 	183.0668	-63.0450
1G305600+000200S	    	305.600	+00.020	 0.55	 0.61	 0.41	 0.19	2	198.6908	-62.7309
1G305780-002500S	    	305.780	-00.250	 0.51	 0.52	 0.36	 0.19	2	199.1391	-62.9828
1G307660-003800S	    	307.660	-00.380	 0.66	 0.74	 0.50	 0.19	 	203.2726	-62.8688
1G308070-004300S	    	308.070	-00.430	 0.62	 0.61	 0.44	 0.19	2	204.1770	-62.8493
1G312540+000600S	    	312.540	+00.060	 0.92	 0.92	 0.65	 0.19	2	213.1881	-61.2856
1G316040-002200S	    	316.040	-00.220	 0.58	 0.60	 0.42	 0.19	 	220.0911	-60.2898
1G319240-003300S	    	319.240	-00.330	 0.49	 0.48	 0.34	 0.19	2	225.8526	-58.9583
1G319560-005200S	    	319.560	-00.520	 0.47	 0.47	 0.33	 0.19	 	226.5741	-58.9674
1G319940-001700S	    	319.940	-00.170	 0.75	 0.73	 0.52	 0.19	2	226.8753	-58.4750
1G327980-000100S	    	327.980	-00.010	 0.53	 0.58	 0.39	 0.19	 	238.5743	-53.7425
1G328350-004900S	    	328.350	-00.490	 0.60	 0.55	 0.41	 0.19	 	239.5767	-53.8725
1G328580-001400S	    	328.580	-00.140	 0.81	 0.81	 0.57	 0.19	2	239.4901	-53.4569
1G329470+002300S	    	329.470	+00.230	 0.48	 0.47	 0.33	 0.19	 	240.2132	-52.5967
1G333960-002500S	    	333.960	-00.250	 0.86	 0.88	 0.62	 0.19	2	245.9709	-49.8738
1G335290-001600S	    	335.290	-00.160	 1.05	 0.92	 0.70	 0.19	2	247.2934	-48.8562
1G335820-001800S	    	335.820	-00.180	 0.50	 0.47	 0.34	 0.19	 	247.8668	-48.4849
1G336810+004600S	    	336.810	+00.460	 0.87	 0.79	 0.59	 0.19	2	248.1780	-47.3246
1G337190+000300S	    	337.190	+00.030	 0.59	 0.55	 0.40	 0.19	 	249.0245	-47.3364
1G341130-003500S	    	341.130	-00.350	 0.66	 0.62	 0.45	 0.19	2	253.1461	-44.6033
1G342030-000700S	    	342.030	-00.070	 0.66	 0.66	 0.47	 0.19	 	253.6367	-43.7289
1G349330+000200S	    	349.330	+00.020	 1.17	 1.14	 0.82	 0.19	2	259.3656	-37.8514
1G349890+002400S	    	349.890	+00.240	 0.79	 0.66	 0.51	 0.19	2	259.5465	-37.2671
1G350960-003800S	    	350.960	-00.380	 0.52	 0.51	 0.36	 0.19	 	260.9482	-36.7415
1G352520-001600S	    	352.520	-00.160	 0.75	 0.75	 0.53	 0.19	2	261.8042	-35.3262
1G354420+000300S	    	354.420	+00.030	 0.72	 0.75	 0.52	 0.19	 	262.8855	-33.6375
1G355620+001500S	    	355.620	+00.150	 0.61	 0.51	 0.40	 0.19	 	263.5467	-32.5662
1G356390+005400S	    	356.390	+00.540	 0.65	 0.65	 0.46	 0.19	 	263.6528	-31.7078
1G000530+001800S	    	000.530	+00.180	 0.66	 0.74	 0.50	 0.18	 	266.5442	-28.3899
1G007370-001100S	    	007.370	-00.110	 0.68	 0.66	 0.47	 0.18	2	270.6597	-22.6371
1G007370-001200S	    	007.370	-00.120	 0.76	 0.68	 0.51	 0.18	2	270.6691	-22.6420
1G010960+000100S	    	010.960	+00.010	 0.79	 0.73	 0.54	 0.18	2	272.4261	-19.4456
1G012790-002200S	    	012.790	-00.220	 0.65	 0.64	 0.46	 0.18	2	273.5679	-17.9516
1G012920+004900S	    	012.920	+00.490	 0.57	 0.54	 0.39	 0.18	 	272.9792	-17.4971
1G014870+000600S	    	014.870	+00.060	 0.57	 0.59	 0.41	 0.18	 	274.3465	-15.9893
1G016310-007500S	    	016.310	-00.750	 0.65	 0.64	 0.45	 0.18	2	275.7928	-15.1017
1G016360-002000S	N18 	016.360	-00.200	 0.50	 0.48	 0.34	 0.18	2	275.3146	-14.7991
1G017980+001300S	    	017.980	+00.130	 0.53	 0.51	 0.37	 0.18	 	275.7988	-13.2140
1G023070+003800S	    	023.070	+00.380	 0.56	 0.53	 0.39	 0.18	 	277.9862	-08.5924
1G023840-000400S	    	023.840	-00.040	 0.62	 0.62	 0.44	 0.18	 	278.7218	-08.1030
1G023980-001100S	    	023.980	-00.110	 0.67	 0.67	 0.47	 0.18	2	278.8497	-08.0109
1G029850+005500S	    	029.850	+00.550	 0.46	 0.46	 0.32	 0.18	 	280.9633	-02.4914
1G030690-003700S	    	030.690	-00.370	 0.58	 0.61	 0.42	 0.18	 	282.1663	-02.1640
1G030970+002100S	    	030.970	+00.210	 0.47	 0.47	 0.33	 0.18	 	281.7776	-01.6502
1G036880+005000S	    	036.880	+00.500	 0.71	 0.70	 0.50	 0.18	 	284.2163	+03.7415
1G037300-000900S	    	037.300	-00.090	 0.59	 0.60	 0.42	 0.18	2	284.9345	+03.8456
1G038260+006200S	    	038.260	+00.620	 0.53	 0.51	 0.37	 0.18	2	284.7411	+05.0240
