MWP	ONames	GLON	GLAT	Width	Height	Reff	Hit	Flag	_RA.icrs	_DE.icrs
1G019700-002700S	    	019.700	-00.270	 0.53	 0.52	 0.37	 0.16	 	276.9839	-11.8798
1G019860-004800S	    	019.860	-00.480	 0.69	 0.72	 0.50	 0.16	 	277.2498	-11.8356
1G020330+002500S	    	020.330	+00.250	 0.64	 0.64	 0.45	 0.16	2	276.8133	-11.0802
1G020970-000700S	    	020.970	-00.070	 0.45	 0.45	 0.32	 0.16	 	277.4046	-10.6621
1G023340-003300S	    	023.340	-00.330	 0.48	 0.47	 0.34	 0.16	 	278.7493	-08.6804
1G023880-003500S	    	023.880	-00.350	 0.87	 0.87	 0.61	 0.16	2	279.0185	-08.2101
1G025550+002300S	    	025.550	+00.230	 0.48	 0.48	 0.34	 0.16	 	279.2730	-06.4604
1G026720+003100S	    	026.720	+00.310	 0.65	 0.59	 0.44	 0.16	 	279.7413	-05.3842
1G027180+002700S	    	027.180	+00.270	 0.45	 0.45	 0.32	 0.16	 	279.9887	-04.9937
1G027980-004600S	    	027.980	-00.460	 0.50	 0.51	 0.36	 0.16	 	281.0074	-04.6163
1G028160-000300S	    	028.160	-00.030	 0.76	 0.76	 0.54	 0.16	2	280.7063	-04.2596
1G029890-007800S	    	029.890	-00.780	 0.66	 0.62	 0.45	 0.16	 	282.1664	-03.0629
1G030210+003300S	    	030.210	+00.330	 0.48	 0.50	 0.35	 0.16	 	281.3237	-02.2716
1G031320-001600S	    	031.320	-00.160	 0.95	 0.89	 0.65	 0.16	2	282.2668	-01.5075
1G031920+001900S	    	031.920	+00.190	 0.66	 0.59	 0.44	 0.16	2	282.2289	-00.8139
1G033290-000200S	N59 	033.290	-00.020	 0.54	 0.52	 0.37	 0.16	 	283.0406	+00.3096
1G033420+000000S	    	033.420	+00.000	 0.67	 0.70	 0.48	 0.16	 	283.0820	+00.4344
1G033490-000100S	    	033.490	-00.010	 0.48	 0.48	 0.34	 0.16	 	283.1229	+00.4921
1G035950-001500S	    	035.950	-00.150	 0.62	 0.58	 0.42	 0.16	 	284.3703	+02.6173
1G036580-005000S	    	036.580	-00.500	 0.56	 0.58	 0.40	 0.16	 	284.9702	+03.0178
1G036840+001200S	    	036.840	+00.120	 0.45	 0.45	 0.32	 0.16	 	284.5367	+03.5324
1G037470-001000S	    	037.470	-00.100	 0.55	 0.48	 0.36	 0.16	 	285.0214	+03.9922
1G039540-003700S	    	039.540	-00.370	 0.93	 0.90	 0.65	 0.16	2	286.2138	+05.7087
1G040220-000200S	    	040.220	-00.020	 0.90	 0.79	 0.60	 0.16	2	286.2149	+06.4735
1G042120+005100S	    	042.120	+00.510	 0.51	 0.47	 0.35	 0.16	 	286.6202	+08.4046
1G042130+005200S	    	042.130	+00.520	 0.54	 0.55	 0.39	 0.16	 	286.6158	+08.4181
1G045540-000100S	    	045.540	-00.010	 0.49	 0.48	 0.35	 0.16	 	288.6921	+11.1973
1G048530-006400S	    	048.530	-00.640	 0.65	 0.54	 0.42	 0.16	2	290.6952	+13.5444
1G048790+001200S	    	048.790	+00.120	 0.57	 0.57	 0.40	 0.16	 	290.1307	+14.1315
1G049380-001700S	    	049.380	-00.170	 0.61	 0.59	 0.42	 0.16	2	290.6814	+14.5156
1G049440-000300S	    	049.440	-00.030	 0.48	 0.49	 0.34	 0.16	 	290.5831	+14.6345
1G053650-000500S	    	053.650	-00.050	 0.77	 0.67	 0.51	 0.16	 	292.6910	+18.3278
1G298270+003000S	    	298.270	+00.300	 0.45	 0.45	 0.32	 0.16	 	182.8210	-62.2077
1G304590+002700S	    	304.590	+00.270	 0.54	 0.54	 0.38	 0.16	 	196.4589	-62.5554
1G308790-002400S	    	308.790	-00.240	 0.78	 0.78	 0.55	 0.16	2	205.6420	-62.5288
1G309940-004300S	    	309.940	-00.430	 0.61	 0.65	 0.44	 0.16	 	208.1625	-62.4659
1G310890+000100S	    	310.890	+00.010	 0.94	 0.93	 0.66	 0.16	2	209.8984	-61.8041
1G311890-002600S	    	311.890	-00.260	 0.48	 0.48	 0.34	 0.16	2	212.0898	-61.7866
1G313470+000600S	S122	313.470	+00.060	 0.52	 0.50	 0.36	 0.16	 	215.0118	-60.9858
1G317460-005300S	    	317.460	-00.530	 0.58	 0.53	 0.39	 0.16	2	222.9351	-59.9641
1G317530-005300S	    	317.530	-00.530	 0.45	 0.45	 0.32	 0.16	 	223.0602	-59.9328
1G317920-003400S	    	317.920	-00.340	 0.51	 0.54	 0.37	 0.16	 	223.5810	-59.5873
1G319220+001600S	    	319.220	+00.160	 0.69	 0.65	 0.47	 0.16	 	225.3641	-58.5384
1G319380-003000S	    	319.380	-00.300	 0.55	 0.51	 0.38	 0.16	 	226.0613	-58.8640
1G320330-001800S	    	320.330	-00.180	 0.52	 0.54	 0.38	 0.16	2	227.5283	-58.2879
1G320600-002100S	    	320.600	-00.210	 0.93	 0.89	 0.65	 0.16	2	227.9986	-58.1762
1G321570-008200S	    	321.570	-00.820	 0.55	 0.55	 0.39	 0.16	 	230.1719	-58.1848
1G324480-002500S	    	324.480	-00.250	 0.45	 0.45	 0.32	 0.16	 	234.0129	-56.0749
1G326540+001700S	    	326.540	+00.170	 0.63	 0.64	 0.45	 0.16	 	236.4651	-54.5029
1G326580-000800S	    	326.580	-00.080	 0.73	 0.72	 0.51	 0.16	2	236.7851	-54.6753
1G327880+001500S	    	327.880	+00.150	 0.62	 0.65	 0.45	 0.16	 	238.2720	-53.6825
1G328290-005400S	    	328.290	-00.540	 0.68	 0.66	 0.47	 0.16	2	239.5541	-53.9495
1G329390-004700S	    	329.390	-00.470	 0.47	 0.49	 0.34	 0.16	2	240.8769	-53.1764
1G329770-005000S	    	329.770	-00.500	 0.48	 0.45	 0.33	 0.16	 	241.3827	-52.9465
1G330290+005000S	    	330.290	+00.500	 0.62	 0.59	 0.43	 0.16	2	240.9306	-51.8536
1G331620+005200S	    	331.620	+00.520	 0.91	 0.81	 0.61	 0.16	2	242.4913	-50.9474
1G332770-003000S	    	332.770	-00.300	 0.52	 0.53	 0.37	 0.16	2	244.7063	-50.7492
1G333920-000100S	    	333.920	-00.010	 0.45	 0.46	 0.32	 0.16	 	245.6631	-49.7333
1G334220-002900S	    	334.220	-00.290	 0.49	 0.52	 0.36	 0.16	 	246.2974	-49.7163
1G334930-003100S	    	334.930	-00.310	 0.58	 0.61	 0.42	 0.16	 	247.0794	-49.2201
1G335510-004400S	    	335.510	-00.440	 0.46	 0.45	 0.32	 0.16	 	247.8325	-48.8889
1G335730-005700S	    	335.730	-00.570	 0.52	 0.50	 0.36	 0.16	 	248.2051	-48.8169
1G335950+000300S	    	335.950	+00.030	 0.62	 0.66	 0.45	 0.16	 	247.7705	-48.2463
1G338960-000400S	    	338.960	-00.040	 0.54	 0.57	 0.39	 0.16	2	250.8168	-46.0609
1G339260+003600S	    	339.260	+00.360	 0.45	 0.45	 0.32	 0.16	 	250.6671	-45.5719
1G340820-005300S	    	340.820	-00.530	 0.54	 0.53	 0.38	 0.16	2	253.0648	-44.9571
1G342830-000300S	    	342.830	-00.030	 0.75	 0.74	 0.53	 0.16	 	254.2841	-43.0805
1G345500-008600S	S13 	345.500	-00.860	 0.60	 0.60	 0.42	 0.16	2	257.3731	-41.4697
1G348310-003000S	    	348.310	-00.300	 0.54	 0.50	 0.37	 0.16	 	258.9442	-38.8681
1G348830+001000S	    	348.830	+00.100	 0.51	 0.53	 0.37	 0.16	 	258.9148	-38.2124
1G348880-001700S	    	348.880	-00.170	 0.64	 0.60	 0.44	 0.16	 	259.2319	-38.3284
1G349210+000700S	    	349.210	+00.070	 0.52	 0.49	 0.36	 0.16	2	259.2260	-37.9204
1G350020+004300S	    	350.020	+00.430	 0.74	 0.80	 0.54	 0.16	2	259.4458	-37.0513
1G353110-001000S	    	353.110	-00.100	 0.45	 0.45	 0.32	 0.16	 	262.1436	-34.8023
1G355660-000600S	    	355.660	-00.060	 0.61	 0.62	 0.44	 0.16	 	263.7819	-32.6464
1G357240-000900S	    	357.240	-00.090	 0.48	 0.48	 0.34	 0.16	 	264.8119	-31.3295
1G358640-004800S	    	358.640	-00.480	 0.70	 0.77	 0.52	 0.16	2	266.0587	-30.3466
1G359280-000400S	    	359.280	-00.040	 0.73	 0.69	 0.50	 0.16	2	266.0129	-29.5710
1G000530+001700S	    	000.530	+00.170	 0.58	 0.54	 0.39	 0.15	 	266.5540	-28.3951
1G002740-000800S	    	002.740	-00.080	 0.51	 0.50	 0.36	 0.15	 	268.0780	-26.6289
1G003650+000900S	    	003.650	+00.090	 0.57	 0.61	 0.41	 0.15	 	268.4303	-25.7587
1G003740-000800S	    	003.740	-00.080	 0.49	 0.48	 0.34	 0.15	 	268.6437	-25.7672
1G007030+007500S	    	007.030	+00.750	 0.54	 0.62	 0.41	 0.15	 	269.6684	-22.5056
1G007130-002000S	    	007.130	-00.200	 0.46	 0.45	 0.32	 0.15	2	270.6162	-22.8902
1G007520+004100S	    	007.520	+00.410	 0.57	 0.55	 0.40	 0.15	 	270.2509	-22.2496
1G010160-002300S	    	010.160	-00.230	 0.69	 0.63	 0.47	 0.15	2	272.2376	-20.2618
1G010630-003400S	    	010.630	-00.340	 0.61	 0.60	 0.43	 0.15	 	272.5822	-19.9036
1G011740-002300S	    	011.740	-00.230	 0.85	 0.80	 0.58	 0.15	 	273.0468	-18.8779
1G016310-004800S	    	016.310	-00.480	 0.61	 0.56	 0.41	 0.15	 	275.5459	-14.9749
1G016590-004600S	N18 	016.590	-00.460	 0.50	 0.49	 0.35	 0.15	 	275.6637	-14.7183
1G017290-002000S	    	017.290	-00.200	 0.60	 0.51	 0.39	 0.15	2	275.7657	-13.9782
1G017570-006300S	    	017.570	-00.630	 0.73	 0.68	 0.50	 0.15	2	276.2923	-13.9320
1G018520+003100S	    	018.520	+00.310	 0.49	 0.49	 0.35	 0.15	 	275.8953	-12.6527
1G018580+003400S	    	018.580	+00.340	 0.90	 0.91	 0.64	 0.15	2	275.8970	-12.5856
1G019060+005700S	    	019.060	+00.570	 0.56	 0.55	 0.39	 0.15	 	275.9191	-12.0538
1G019520+000800S	    	019.520	+00.080	 0.85	 1.02	 0.66	 0.15	2	276.5817	-11.8761
1G021500-001600S	    	021.500	-00.160	 0.50	 0.55	 0.37	 0.15	 	277.7354	-10.2341
1G024150+001600S	    	024.150	+00.160	 0.49	 0.48	 0.34	 0.15	 	278.6867	-07.7357
1G024370+002700S	    	024.370	+00.270	 0.47	 0.51	 0.35	 0.15	 	278.6904	-07.4898
1G026550-002900S	    	026.550	-00.290	 0.58	 0.59	 0.41	 0.15	2	280.1990	-05.8102
1G027920-000300S	    	027.920	-00.030	 0.58	 0.51	 0.39	 0.15	 	280.5963	-04.4731
1G030030+001100S	    	030.030	+00.110	 0.77	 0.77	 0.54	 0.15	 	281.4374	-02.5322
1G030070+001000S	    	030.070	+00.100	 0.69	 0.65	 0.47	 0.15	 	281.4646	-02.5012
1G030780+002300S	    	030.780	+00.230	 0.77	 0.68	 0.52	 0.15	 	281.6731	-01.8101
1G031100+001300S	    	031.100	+00.130	 0.49	 0.51	 0.35	 0.15	2	281.9082	-01.5710
1G031570-002700S	    	031.570	-00.270	 0.59	 0.56	 0.41	 0.15	2	282.4787	-01.3352
1G032070-000900S	    	032.070	-00.090	 0.65	 0.65	 0.46	 0.15	2	282.5465	-00.8081
1G032420+000800S	    	032.420	+00.080	 0.50	 0.52	 0.36	 0.15	 	282.5548	-00.4191
1G032460+002300S	    	032.460	+00.230	 0.45	 0.46	 0.32	 0.15	 	282.4396	-00.3151
1G032750+002200S	    	032.750	+00.220	 0.49	 0.50	 0.35	 0.15	 	282.5807	-00.0616
1G033260+000700S	    	033.260	+00.070	 0.69	 0.70	 0.49	 0.15	2	282.9468	+00.3239
1G033630-000100S	    	033.630	-00.010	 0.64	 0.63	 0.45	 0.15	 	283.1867	+00.6167
1G034960+003100S	    	034.960	+00.310	 0.49	 0.45	 0.33	 0.15	 	283.5085	+01.9463
1G037700-003400S	    	037.700	-00.340	 0.53	 0.53	 0.37	 0.15	 	285.3408	+04.0870
1G037860-006000S	    	037.860	-00.600	 0.60	 0.55	 0.41	 0.15	2	285.6460	+04.1102
1G038270+006200S	    	038.270	+00.620	 0.60	 0.61	 0.43	 0.15	2	284.7457	+05.0329
1G038530+002300S	N71 	038.530	+00.230	 0.48	 0.48	 0.34	 0.15	 	285.2133	+05.0858
1G038600+008100S	    	038.600	+00.810	 0.59	 0.61	 0.42	 0.15	 	284.7274	+05.4132
1G039670-001600S	    	039.670	-00.160	 0.84	 0.97	 0.64	 0.15	2	286.0862	+05.9205
1G041260+002200S	    	041.260	+00.220	 0.88	 0.91	 0.63	 0.15	2	286.4812	+07.5075
1G041880+004900S	    	041.880	+00.490	 0.75	 0.68	 0.51	 0.15	2	286.5267	+08.1823
1G042400-003500S	    	042.400	-00.350	 0.86	 0.73	 0.56	 0.15	2	287.5220	+08.2570
1G043160-000700S	    	043.160	-00.070	 0.66	 0.68	 0.47	 0.15	2	287.6258	+09.0604
1G045540-004200S	    	045.540	-00.420	 0.46	 0.46	 0.33	 0.15	 	289.0619	+11.0065
1G046240-006800S	    	046.240	-00.680	 0.55	 0.58	 0.40	 0.15	 	289.6295	+11.5041
1G046740+000000S	    	046.740	+00.000	 0.68	 0.65	 0.47	 0.15	2	289.2539	+12.2638
1G048640+006100S	    	048.640	+00.610	 0.66	 0.69	 0.48	 0.15	2	289.6117	+14.2287
1G051010+005200S	N107	051.010	+00.520	 0.47	 0.50	 0.34	 0.15	 	290.8487	+16.2782
1G053040+002700S	    	053.040	+00.270	 0.54	 0.52	 0.37	 0.15	 	292.0879	+17.9457
1G053150+002300S	    	053.150	+00.230	 0.55	 0.55	 0.39	 0.15	 	292.1801	+18.0232
1G296320-007200S	    	296.320	-00.720	 0.53	 0.54	 0.38	 0.15	 	178.2507	-62.8392
1G300500-001900S	    	300.500	-00.190	 0.45	 0.45	 0.32	 0.15	 	187.5038	-62.9605
1G303540-007100S	    	303.540	-00.710	 0.62	 0.61	 0.44	 0.15	2	194.2259	-63.5753
1G304090+004300S	    	304.090	+00.430	 0.90	 0.85	 0.62	 0.15	2	195.3613	-62.4192
1G306340-003200S	    	306.340	-00.320	 0.53	 0.58	 0.39	 0.15	 	200.3815	-62.9925
1G306920+002100S	    	306.920	+00.210	 0.55	 0.54	 0.38	 0.15	 	201.4915	-62.3941
1G309120-002000S	    	309.120	-00.200	 0.60	 0.52	 0.39	 0.15	2	206.3239	-62.4229
1G311560+002400S	    	311.560	+00.240	 0.61	 0.61	 0.43	 0.15	2	211.1244	-61.4018
1G312330-002800S	    	312.330	-00.280	 0.66	 0.67	 0.47	 0.15	 	212.9887	-61.6738
1G319850+001600S	    	319.850	+00.160	 0.51	 0.52	 0.36	 0.15	 	226.4150	-58.2328
1G320250+001700S	    	320.250	+00.170	 0.66	 0.67	 0.47	 0.15	2	227.0634	-58.0257
1G320330-003000S	    	320.330	-00.300	 0.66	 0.68	 0.47	 0.15	2	227.6442	-58.3913
1G320430+001100S	    	320.430	+00.110	 0.54	 0.54	 0.38	 0.15	2	227.4140	-57.9871
1G320690+003400S	S92 	320.690	+00.340	 0.51	 0.51	 0.36	 0.15	2	227.6165	-57.6571
1G323070+001100S	    	323.070	+00.110	 0.51	 0.53	 0.37	 0.15	 	231.5543	-56.5848
1G325980+000900S	    	325.980	+00.090	 0.62	 0.54	 0.41	 0.15	 	235.7815	-54.9079
1G328570+000700S	    	328.570	+00.070	 0.59	 0.62	 0.43	 0.15	 	239.2500	-53.3030
1G328980+005700S	    	328.980	+00.570	 0.51	 0.48	 0.35	 0.15	 	239.2356	-52.6564
1G329250-003100S	    	329.250	-00.310	 0.76	 0.60	 0.48	 0.15	2	240.5254	-53.1486
1G329750+001800S	    	329.750	+00.180	 0.68	 0.68	 0.48	 0.15	 	240.6142	-52.4505
1G330940-002600S	    	330.940	-00.260	 0.73	 0.70	 0.50	 0.15	2	242.5386	-51.9818
1G332410-005000S	    	332.410	-00.500	 0.85	 0.83	 0.59	 0.15	2	244.5195	-51.1438
1G332550+002400S	    	332.550	+00.240	 0.45	 0.45	 0.32	 0.15	2	243.8648	-50.5144
1G332590+000400S	    	332.590	+00.040	 1.16	 0.98	 0.76	 0.15	2	244.1284	-50.6309
1G333320+007100S	    	333.320	+00.710	 0.49	 0.50	 0.35	 0.15	 	244.2214	-49.6418
1G334520-000500S	    	334.520	-00.050	 0.50	 0.49	 0.35	 0.15	 	246.3560	-49.3340
1G336200+002000S	    	336.200	+00.200	 0.53	 0.54	 0.38	 0.15	2	247.8415	-47.9478
1G336980-000100S	    	336.980	-00.010	 0.52	 0.45	 0.34	 0.15	 	248.8589	-47.5185
1G337310-002100S	    	337.310	-00.210	 0.60	 0.58	 0.41	 0.15	 	249.4060	-47.4087
1G339750+000900S	    	339.750	+00.090	 0.59	 0.58	 0.41	 0.15	 	251.4154	-45.3780
1G339900+002500S	    	339.900	+00.250	 0.46	 0.51	 0.34	 0.15	 	251.3816	-45.1599
1G340840-000900S	    	340.840	-00.090	 0.68	 0.76	 0.51	 0.15	 	252.6048	-44.6612
1G343520-000100S	    	343.520	-00.010	 0.53	 0.52	 0.37	 0.15	2	254.8469	-42.5274
1G344990-002600S	    	344.990	-00.260	 1.07	 1.05	 0.75	 0.15	2	256.3237	-41.5175
1G346530+001200S	    	346.530	+00.120	 0.62	 0.61	 0.44	 0.15	 	257.1456	-40.0584
1G347970-004300S	    	347.970	-00.430	 0.56	 0.58	 0.40	 0.15	2	258.8256	-39.2202
1G348110-003300S	    	348.110	-00.330	 0.66	 0.63	 0.46	 0.15	 	258.8259	-39.0482
1G349290+000200S	    	349.290	+00.020	 0.55	 0.49	 0.37	 0.15	 	259.3363	-37.8840
1G350770-008600S	    	350.770	-00.860	 0.70	 0.68	 0.48	 0.15	2	261.3111	-37.1685
1G351220+001800S	    	351.220	+00.180	 0.47	 0.46	 0.33	 0.15	 	260.5569	-36.2102
1G353040-000200S	    	353.040	-00.020	 0.53	 0.57	 0.39	 0.15	 	262.0153	-34.8162
1G356470+000000S	    	356.470	+00.000	 0.59	 0.59	 0.41	 0.15	 	264.2387	-31.9318
1G357980-001700S	    	357.980	-00.170	 0.50	 0.52	 0.36	 0.15	2	265.3494	-30.7448
1G358630+000600S	    	358.630	+00.060	 0.73	 0.63	 0.48	 0.15	2	265.5210	-30.0714
1G000280-004800S	    	000.280	-00.480	 0.82	 0.86	 0.59	 0.14	2	267.0399	-28.9458
1G002590+000100S	    	002.590	+00.010	 0.57	 0.54	 0.39	 0.14	 	267.9058	-26.7120
1G003580-002400S	    	003.580	-00.240	 0.67	 0.69	 0.48	 0.14	 	268.7072	-25.9861
1G010610-003800S	N2  	010.610	-00.380	 0.55	 0.56	 0.39	 0.14	2	272.6091	-19.9404
1G010670-002100S	    	010.670	-00.210	 0.78	 0.79	 0.55	 0.14	 	272.4817	-19.8058
1G010860-000300S	    	010.860	-00.030	 0.45	 0.45	 0.32	 0.14	 	272.4119	-19.5524
1G012630-000100S	    	012.630	-00.010	 0.85	 0.91	 0.62	 0.14	 	273.2936	-17.9915
1G013140+000600S	    	013.140	+00.060	 0.49	 0.48	 0.34	 0.14	2	273.4855	-17.5103
1G013560+008400S	    	013.560	+00.840	 0.83	 0.77	 0.57	 0.14	 	272.9801	-16.7677
1G014890-004000S	    	014.890	-00.400	 0.67	 0.65	 0.47	 0.14	 	274.7779	-16.1896
1G016280-004900S	    	016.280	-00.490	 0.53	 0.53	 0.38	 0.14	 	275.5405	-15.0061
1G016440-002100S	    	016.440	-00.210	 0.83	 0.71	 0.54	 0.14	2	275.3626	-14.7333
1G018680-000600S	    	018.680	-00.060	 0.50	 0.53	 0.36	 0.14	 	276.3072	-12.6844
1G021140-003000S	    	021.140	-00.300	 0.74	 0.66	 0.50	 0.14	2	277.6921	-10.6181
1G024540-001300S	    	024.540	-00.130	 0.50	 0.60	 0.39	 0.14	 	279.1275	-07.5229
1G024960+002600S	    	024.960	+00.260	 0.84	 0.76	 0.57	 0.14	2	278.9731	-06.9706
1G027140+004700S	    	027.140	+00.470	 0.45	 0.45	 0.32	 0.14	 	279.7919	-04.9376
1G027210+002100S	    	027.210	+00.210	 0.45	 0.45	 0.32	 0.14	 	280.0561	-04.9945
1G027270+001500S	    	027.270	+00.150	 0.55	 0.54	 0.39	 0.14	 	280.1372	-04.9687
1G027280+001400S	    	027.280	+00.140	 0.86	 0.74	 0.57	 0.14	2	280.1507	-04.9643
1G028950-005900S	    	028.950	-00.590	 0.49	 0.48	 0.34	 0.14	2	281.5675	-03.8127
1G029230+000000S	    	029.230	+00.000	 0.60	 0.61	 0.43	 0.14	2	281.1696	-03.2942
1G029890-007700S	    	029.890	-00.770	 0.45	 0.46	 0.32	 0.14	 	282.1574	-03.0583
1G031490-002400S	    	031.490	-00.240	 0.45	 0.45	 0.32	 0.14	 	282.4155	-01.3927
1G031550+001000S	    	031.550	+00.100	 0.63	 0.54	 0.41	 0.14	2	282.1402	-01.1843
1G031910+001900S	    	031.910	+00.190	 0.58	 0.58	 0.41	 0.14	2	282.2244	-00.8228
1G032320+007800S	    	032.320	+00.780	 0.71	 0.75	 0.52	 0.14	2	281.8863	-00.1889
1G033880+000600S	    	033.880	+00.060	 1.14	 0.79	 0.69	 0.14	2	283.2384	+00.8711
1G034300+001800S	    	034.300	+00.180	 0.45	 0.45	 0.32	 0.14	 	283.3232	+01.2996
1G034720-006100S	N63 	034.720	-00.610	 0.74	 0.53	 0.46	 0.14	2	284.2180	+01.3130
1G035040-005500S	N63 	035.040	-00.550	 0.46	 0.46	 0.33	 0.14	 	284.3107	+01.6251
1G036220+000700S	    	036.220	+00.070	 0.52	 0.52	 0.37	 0.14	 	284.2977	+02.9580
1G036650+003200S	    	036.650	+00.320	 0.45	 0.46	 0.32	 0.14	 	284.2716	+03.4547
1G037890-005100S	    	037.890	-00.510	 0.51	 0.51	 0.36	 0.14	 	285.5795	+04.1781
1G038070-002600S	    	038.070	-00.260	 0.81	 0.84	 0.58	 0.14	2	285.4393	+04.4526
1G038550+001600S	    	038.550	+00.160	 0.68	 0.61	 0.46	 0.14	2	285.2849	+05.0716
1G039600+005600S	    	039.600	+00.560	 0.55	 0.55	 0.39	 0.14	2	285.4103	+06.1882
1G041030+001200S	    	041.030	+00.120	 0.70	 0.67	 0.48	 0.14	2	286.4642	+07.2573
1G041290-001700S	    	041.290	-00.170	 0.50	 0.49	 0.35	 0.14	 	286.8444	+07.3549
1G042000-000400S	    	042.000	-00.040	 0.49	 0.52	 0.36	 0.14	 	287.0578	+08.0450
1G043350-006600S	    	043.350	-00.660	 0.79	 0.78	 0.56	 0.14	2	288.2444	+08.9558
1G043520+000200S	    	043.520	+00.020	 0.48	 0.47	 0.33	 0.14	 	287.7134	+09.4212
1G044520+003900S	    	044.520	+00.390	 0.81	 0.91	 0.61	 0.14	 	287.8497	+10.4790
1G045560-004200S	    	045.560	-00.420	 0.51	 0.55	 0.38	 0.14	 	289.0714	+11.0242
1G046790+002800S	    	046.790	+00.280	 0.45	 0.45	 0.32	 0.14	 	289.0241	+12.4386
1G050100+008400S	    	050.100	+00.840	 0.52	 0.52	 0.37	 0.14	 	290.1094	+15.6262
1G054200+000300S	    	054.200	+00.030	 0.47	 0.45	 0.33	 0.14	 	292.8962	+18.8484
1G295730-003000S	    	295.730	-00.300	 0.63	 0.58	 0.43	 0.14	2	177.2169	-62.2936
1G296490-004500S	    	296.490	-00.450	 0.56	 0.59	 0.41	 0.14	 	178.7426	-62.6134
1G299440-000400S	    	299.440	-00.040	 0.67	 0.65	 0.47	 0.14	 	185.2270	-62.7046
1G300340-002200S	    	300.340	-00.220	 0.70	 0.70	 0.49	 0.14	 	187.1474	-62.9767
1G303860-003700S	    	303.860	-00.370	 0.61	 0.61	 0.43	 0.14	2	194.9201	-63.2269
1G303930-003900S	    	303.930	-00.390	 0.45	 0.45	 0.32	 0.14	 	195.0769	-63.2446
1G303930-004000S	    	303.930	-00.400	 0.47	 0.49	 0.34	 0.14	 	195.0777	-63.2546
1G304710+002700S	    	304.710	+00.270	 0.53	 0.49	 0.36	 0.14	 	196.7188	-62.5484
1G304770-005200S	    	304.770	-00.520	 0.78	 0.81	 0.56	 0.14	 	196.9576	-63.3332
1G306940-007300S	    	306.940	-00.730	 0.66	 0.64	 0.46	 0.14	 	201.8153	-63.3226
1G308030-005000S	    	308.030	-00.500	 0.47	 0.49	 0.34	 0.14	 	204.1174	-62.9252
1G309940+002500S	    	309.940	+00.250	 0.90	 0.86	 0.62	 0.14	2	207.8245	-61.8045
1G311560+002300S	    	311.560	+00.230	 0.47	 0.46	 0.33	 0.14	2	211.1302	-61.4114
1G314360+004900S	    	314.360	+00.490	 0.55	 0.59	 0.40	 0.14	 	216.4116	-60.2746
1G314630+002900S	    	314.630	+00.290	 0.83	 0.59	 0.51	 0.14	2	217.0657	-60.3639
1G317100-003000S	    	317.100	-00.300	 0.81	 0.64	 0.52	 0.14	2	222.0877	-59.9161
1G317160-003700S	    	317.160	-00.370	 0.80	 0.79	 0.56	 0.14	 	222.2564	-59.9529
1G317820-000600S	    	317.820	-00.060	 0.45	 0.45	 0.32	 0.14	 	223.1562	-59.3826
1G319990-002100S	    	319.990	-00.210	 0.47	 0.45	 0.32	 0.14	 	226.9964	-58.4848
1G320720+004200S	    	320.720	+00.420	 0.71	 0.68	 0.49	 0.14	2	227.5890	-57.5730
1G324970-003500S	S80 	324.970	-00.350	 0.49	 0.47	 0.34	 0.14	 	234.8251	-55.8663
1G326880-005100S	    	326.880	-00.510	 0.52	 0.52	 0.37	 0.14	 	237.6556	-54.8252
1G328180+003500S	    	328.180	+00.350	 0.47	 0.48	 0.34	 0.14	 	238.4483	-53.3375
1G329390-004600S	    	329.390	-00.460	 0.69	 0.61	 0.46	 0.14	2	240.8659	-53.1689
1G331150+001300S	    	331.150	+00.130	 0.52	 0.54	 0.37	 0.14	 	242.3611	-51.5527
1G336500-002600S	    	336.500	-00.260	 0.56	 0.51	 0.38	 0.14	2	248.6502	-48.0412
1G336740+003300S	    	336.740	+00.330	 0.62	 0.61	 0.43	 0.14	 	248.2482	-47.4644
1G337190-000600S	    	337.190	-00.060	 0.73	 0.73	 0.52	 0.14	 	249.1228	-47.3970
1G337990+000900S	    	337.990	+00.090	 0.75	 0.62	 0.49	 0.14	2	249.7454	-46.7023
1G338220-005300S	    	338.220	-00.530	 0.57	 0.55	 0.40	 0.14	 	250.6468	-46.9406
1G338910+005500S	    	338.910	+00.550	 0.52	 0.52	 0.37	 0.14	2	250.1324	-45.7092
1G341120+001400S	    	341.120	+00.140	 0.78	 0.78	 0.55	 0.14	 	252.6080	-44.2989
1G341220-002100S	    	341.220	-00.210	 0.50	 0.51	 0.36	 0.14	2	253.0745	-44.4449
1G341930-001700S	    	341.930	-00.170	 0.55	 0.54	 0.38	 0.14	 	253.6571	-43.8696
1G345750+000700S	    	345.750	+00.070	 0.46	 0.46	 0.32	 0.14	 	256.5837	-40.7124
1G348230-001400S	    	348.230	-00.140	 0.63	 0.63	 0.45	 0.14	 	258.7174	-38.8399
1G348750-002000S	    	348.750	-00.200	 0.52	 0.49	 0.36	 0.14	 	259.1670	-38.4517
1G348920-000100S	    	348.920	-00.010	 0.82	 0.65	 0.52	 0.14	2	259.0953	-38.2031
1G349210+000800S	    	349.210	+00.080	 0.75	 0.75	 0.53	 0.14	 	259.2156	-37.9146
1G351260+001600S	    	351.260	+00.160	 0.52	 0.50	 0.36	 0.14	 	260.6054	-36.1886
1G351830-003700S	    	351.830	-00.370	 0.75	 0.88	 0.58	 0.14	2	261.5448	-36.0160
