type,glon,glat,degx,degy,imgx,imgy,rx,ry,angle,qglon,gqlat,qdegx,qdegy,potential_duplicate,pixel_scale,zooniverse_id,img_url,cat_id
bowshock,57.30195799,-0.135296007,0.025368228,0.029715104,1.987220764,341.5936107,40.58916473,47.54416656,0,0.005518214,0.002327657,,0.009344736,FALSE,0.000625,AMW00024vd,http://www.milkywayproject.org/subjects/standard/530638f3d27ff4048d00cb1f.jpg,MWP2G057302-000135BW
bowshock,-68.78257391,-0.785024554,0.009427734,0.009023438,156.6608615,303.0642857,50.28125,48.125,0,0.001268872,0.001301601,,0.002350989,FALSE,0.0001875,AMW0000qu2,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4d98700.jpg,MWP2G291217-000785BW
bowshock,0.649515104,0.624879688,0.048398438,0.061679688,245.895834,5.3125,77.4375,98.6875,0,0.00431055,0.004067243,,0.003574531,FALSE,0.000625,AMW00030za,http://www.milkywayproject.org/subjects/standard/53063b90d27ff4048d021041.jpg,MWP2G000650+000625BW
bowshock,-73.75401875,0.270645455,0.038866477,0.044986364,321.3099989,41.8472727,62.18636253,71.97818201,0,0.004591542,0.005579555,,0.008268191,FALSE,0.000625,AMW0000uaa,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4519900.jpg,MWP2G286246+000271BW
bowshock,-66.00704183,-0.967307143,0.046696429,0.037946429,363.0734667,291.2857143,37.35714286,30.35714286,0,0.004064217,0.00836457,,0.005563486,FALSE,0.00125,AMW0000va9,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4609e00.jpg,MWP2G293993-000967BW
bowshock,6.703107871,-1.502922222,0.072361111,0.092291667,114.9537031,279.7777778,57.88888889,73.83333333,0,0.007642597,0.011127701,,0.01364305,FALSE,0.00125,AMW0000fjo,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4b34e00.jpg,MWP2G006703-001503BW
bowshock,-75.912825,-0.421207813,0.020703125,0.02546875,175.3999987,148.8125,33.125,40.75,0,0.002687902,0.004411301,,0.004969213,FALSE,0.000625,AMW0000u5w,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4b39800.jpg,MWP2G284087-000421BW
bowshock,-91.4999737,-0.847416072,0.045107144,0.033821429,85.07792446,80.98571559,72.17143032,54.11428615,0,0.002302181,0.001990305,,0.007463665,FALSE,0.000625,AMW0000tdp,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4bc9400.jpg,MWP2G268500-000847BW
bowshock,-75.91411845,-0.424746429,0.018169643,0.016450893,347.7095239,4.714285714,29.07142857,26.32142857,0,0.003274579,0.003903726,,0.007951747,FALSE,0.000625,AMW0000u65,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4bc9800.jpg,MWP2G284086-000425BW
bowshock,24.72190417,-0.114056481,0.018298611,0.026354167,359.8333316,257.3703698,29.27777778,42.16666667,0,0.003670223,0.003575968,,0.004841229,FALSE,0.000625,AMW0002384,http://www.milkywayproject.org/subjects/standard/530638d1d27ff4048d00ba75.jpg,MWP2G024722-000114BW
bowshock,-4.198765625,0.118353125,0.0095,0.027375,509.6833318,151.7166651,50.66666667,146,0,0.00126439,0.001009051,,0.002230383,FALSE,0.0001875,AMW0002yn2,http://www.milkywayproject.org/subjects/standard/53063b60d27ff4048d01f891.jpg,MWP2G355801+000118BW
bowshock,-4.19198875,0.11978125,0.01815,0.027928125,473.5399994,144.1,96.8,148.95,0,0.001371302,0.002459074,,0.001076607,FALSE,0.0001875,AMW0002yn2,http://www.milkywayproject.org/subjects/standard/53063b60d27ff4048d01f891.jpg,MWP2G355808+000120BW
bowshock,-76.44999063,-0.4457,0.012625,0.01315625,649.5500005,293.3333333,67.33333333,70.16666667,0,0.000579938,0.001335271,,0.001359429,FALSE,0.0001875,AMW0000ojt,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4487c00.jpg,MWP2G283550-000446BW
bowshock,-77.14800324,-1.224311111,0.028055556,0.045555556,151.6851858,33.77777778,44.88888889,72.88888889,0,0.005053694,0.003561694,,0.00669286,FALSE,0.000625,AMW0000u3z,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f46e9800.jpg,MWP2G282852-001224BW
