type,glon,glat,degx,degy,imgx,imgy,rx,ry,angle,qglon,gqlat,qdegx,qdegy,potential_duplicate,pixel_scale,zooniverse_id,img_url,cat_id
bubble,-74.73669185075079,-0.03269107127530233,0.033645521125786386,0.03425275057836914,693.5869612012591,327.18571404048373,53.83283380125822,54.804400925390624,44.045246869330306,0.005920008971802191,0.007147986397416169,,0.011721685230414527,false,0.000625,AMW0000u8s,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f41b9900.jpg,MWP2285263-000033B
bubble,-74.74898576278684,-0.0512,0.00803778864686489,0.015645336164152607,713.2572204589844,356.8,12.860461834983823,25.03253786264417,22.761119129330247,0.003395258131243894,0.002771766277819671,,0.003672346935114243,false,0.000625,AMW0000u8s,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f41b9900.jpg,MWP2285251-000051B
bubble,-74.74920161933898,-0.011970833333333347,0.019768285273858363,0.010510680801158911,713.6025909423828,294.03333333333336,31.62925643817338,16.81708928185426,77.1832836663427,0.005343223484225692,0.0014882958781592354,,0.0029636121955941633,false,0.000625,AMW0000u8s,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f41b9900.jpg,MWP2285251-000012B
bubble,-72.4008057700475,-0.7194838888367018,0.03776274476910834,0.04635674797689319,556.1692320760092,26.05422213872274,60.42039163057335,74.1707967630291,52.61552665732642,0.006966446498337466,0.004652857037781412,,0.01249719522276725,false,0.000625,AMW0000ucx,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4b09900.jpg,MWP2287599-000719B
bubble,-72.21235625000003,-0.8558875,0.01755761055818977,0.019726286723639838,254.65,244.3,28.09217689310363,31.562058757823742,47.97839451268277,0.0037505786590575295,0.00285671267222776,,0.005583817103096604,false,0.000625,AMW0000ucx,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4b09900.jpg,MWP2287788-000856B
bubble,-72.11559583333332,-0.8199708333333334,0.028517818007758558,0.029378896878352292,99.83333333333333,186.83333333333334,45.62850881241369,47.00623500536366,56.96588826549808,0.0038611985401772165,0.004971271634769786,,0.004159732786294154,false,0.000625,AMW0000ucx,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4b09900.jpg,MWP2287884-000820B
bubble,-72.14226250000002,-0.9057000000000001,0.05205255363652016,0.046071282059922336,142.5,324.0,83.28408581843225,73.71405129587573,48.95550807312099,0.00270993542358485,0.0043526213366200375,,0.007605671451364042,false,0.000625,AMW0000ucx,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4b09900.jpg,MWP2287858-000906B
bubble,-68.6474959534205,-0.7304463942307693,0.00756801257593705,0.006589145653533949,236.24508490929236,11.98076923076923,40.36273373833093,35.14211015218106,34.230423646286106,0.001097950040241078,0.0016493121252480092,,0.001924807620588424,false,0.0001875,AMW0000qvo,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4138800.jpg,MWP2291353-000730B
bubble,-68.6404838540077,-0.75729765625,0.00809693682398124,0.007246561125300172,198.84722137451172,155.1875,43.18366306123328,38.648326001600914,58.76109917722191,0.0011296129384107637,0.0030717085775020256,,0.002731397460142739,false,0.0001875,AMW0000qvo,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4138800.jpg,MWP2291360-000757B
bubble,-68.73613148040772,-0.7545923263983293,0.01234834539684449,0.022569948603757172,708.9678955078125,140.75907412442294,65.85784211650395,120.37305922003824,36.573771220941175,0.002655285713815196,0.002034839783517116,,0.0023751097661236023,false,0.0001875,AMW0000qvo,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4138800.jpg,MWP2291264-000755B
bubble,-68.74502437801362,-0.7765319052656492,0.005539957642469322,0.004254159343033784,756.3966827392578,257.77016141679553,29.546440759836386,22.688849829513515,55.06520640568961,0.0010591158652111122,0.000800428854233728,,0.0011829690629780471,false,0.0001875,AMW0000qvo,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4138800.jpg,MWP2291255-000777B
bubble,-68.64629791641238,-0.7428625000000001,0.008650777650036457,0.006407531186983973,229.85555419921874,78.2,46.13748080019444,34.17349966391452,21.669038810166537,0.0007644442425710329,0.001847236446176243,,0.0018434525260071016,false,0.0001875,AMW0000qvo,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4138800.jpg,MWP2291354-000743B
bubble,-68.64623896427156,-0.7476380151033402,0.010195106040403098,0.019882162090734876,229.54114278157553,103.66941388448079,54.37389888214986,106.03819781725268,12.714735194458637,0.00130715871678895,0.0015711891132339276,,0.0011540122257991938,false,0.0001875,AMW0000qvo,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4138800.jpg,MWP2291354-000748B
bubble,-68.94466367586574,-0.7715333334555994,0.02629802236914166,0.026145894509937807,713.1709406926082,254.66666676447943,21.038417895313327,20.916715607950245,40.62523357770307,0.004649148596362532,0.01311416935561933,,0.010051191279220148,false,0.00125,AMW0000v92,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4359e00.jpg,MWP2291055-000772B
bubble,-68.73913729231094,-0.7569037038803101,0.018116822178079847,0.022900487892462486,548.7498338487413,242.96296310424805,14.493457742463878,18.320390313969988,38.171471199562816,0.014022619987819571,0.004035531514641523,,0.008566943289358024,false,0.00125,AMW0000v92,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4359e00.jpg,MWP2291261-000757B
bubble,-68.66912803107368,-0.7461166666666668,0.04282248072367611,0.04006833019683795,492.742424858941,234.33333333333334,34.257984578940885,32.054664157470356,55.46556188733123,0.006218671481916375,0.00965541491027663,,0.014537038845370465,false,0.00125,AMW0000v92,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4359e00.jpg,MWP2291331-000746B
bubble,-68.37077464128384,-0.5026999997756061,0.037505009345024175,0.023224964776727555,254.05971302705652,39.59999982048483,30.00400747601934,18.579971821382042,39.99184675064977,0.008541717214357302,0.006525230692564588,,0.0061912827691162076,false,0.00125,AMW0000v92,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4359e00.jpg,MWP2291629-000503B
bubble,-68.38368678721878,-0.45878588814735416,0.015198760646133258,0.013078661008993159,29.26286516691509,363.1247367858887,81.06005677937738,69.75285871463018,49.040714608694906,0.002595170105586405,0.0027262975177294126,,0.00408271330225939,false,0.0001875,AMW0000qxy,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4658800.jpg,MWP2291616-000459B
bubble,-68.4422829860369,-0.417825,0.005662142814833604,0.0073078669511170355,341.7759255303277,144.66666666666666,30.198095012445883,38.97529040595752,50.39214374970474,0.0009163045184807479,0.000817964648950299,,0.003449298985649842,false,0.0001875,AMW0000qxy,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4658800.jpg,MWP2291558-000418B
bubble,-68.43315312499999,-0.44322312493324284,0.002418303171073987,0.0015913493378968623,293.0833333333333,280.1233329772949,12.897616912394598,8.487196468783266,53.307196402090156,0.0003602375261197855,0.00034784492773360954,,0.0015485615274280387,false,0.0001875,AMW0000qxy,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4658800.jpg,MWP2291567-000443B
bubble,-68.37928236035435,-0.5413880165880376,0.008717074700555043,0.017234765339519786,405.77258855646306,203.66942180286753,46.49106506962689,91.91874847743885,20.790796119601445,0.0025886009980187015,0.0015266900640343972,,0.0018602990514581762,false,0.0001875,AMW0000qyt,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4848800.jpg,MWP2291621-000541B
bubble,-77.98683194084168,-1.126648724746704,0.032928775839049386,0.029261116125687475,746.9055526733398,138.75897979736328,26.343020671239508,23.40889290054998,44.27697867485447,0.006583984390081722,0.00576300693439349,,0.009824743173291968,false,0.00125,AMW0000v5r,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4be9d00.jpg,MWP2282013-001127B
bubble,-77.70861666666667,-1.1127833333333335,0.05036395477917199,0.08186225952762033,524.3333333333334,127.66666666666667,40.29116382333759,65.48980762209627,53.95155961181908,0.003247595264191645,0.007862341015880705,,0.010530516281816503,false,0.00125,AMW0000v5r,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4be9d00.jpg,MWP2282291-001113B
bubble,-77.20648992843627,-1.31898125,0.01767475777409569,0.016670376355532077,122.63194274902344,292.625,14.13980621927655,13.336301084425662,52.470618604534344,0.004378187614266237,0.005319118352536927,,0.0077293010894474694,false,0.00125,AMW0000v5r,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4be9d00.jpg,MWP2282794-001319B
bubble,-74.72565537867547,-0.0295375,0.012641632215807719,0.020861572739635115,653.095352935791,273.8,67.42203848430783,111.26172127805395,14.687605929713206,0.0010262588546960777,0.0011031121152113527,,0.0029154155867718873,false,0.0001875,AMW0000p2v,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4f67e00.jpg,MWP2285274-000030B
bubble,-74.65427160071323,0.0034526316090634016,0.005102401039973794,0.00530461245687063,272.3818704705489,97.85263141832854,27.212805546526898,28.29126643664336,43.430976163704656,0.0007987139758397786,0.0007207025151852687,,0.0018370004947111836,false,0.0001875,AMW0000p2v,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4f67e00.jpg,MWP2285346+000003B
bubble,-73.72099354177413,-0.1307074771977961,0.12147032712311333,0.09759330557535081,134.23483341932297,342.0059817582369,97.17626169849066,78.07464446028065,41.04526118593076,0.014605947304665856,0.016753948098726226,,0.024022371051366065,false,0.00125,AMW0000v70,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4eb9d00.jpg,MWP2286279-000131B
bubble,-73.8098559828245,0.17286538543334373,0.02543426719470075,0.026831672058971738,205.32478625957782,99.14769165332501,20.3474137557606,21.46533764717739,42.46786058819523,0.0039758843456789775,0.007294499762579608,,0.011324466460160812,false,0.00125,AMW0000v70,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4eb9d00.jpg,MWP2286190+000173B
bubble,-74.29753079348671,0.16138333333333335,0.026916963706836994,0.01650156276423679,595.4646347893608,108.33333333333333,21.533570965469593,13.201250211389432,29.08523731716783,0.0020728904939721245,0.003468093289276905,,0.00920993154183016,false,0.00125,AMW0000v70,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4eb9d00.jpg,MWP2285702+000161B
bubble,-73.78227172682625,0.16275357142857141,0.011779599318864534,0.015582873162367814,136.75476292201452,264.7142857142857,18.847358910183253,24.932597059788502,63.60286733216295,0.004560277508264267,0.002965102365576162,,0.0031644306831007905,false,0.000625,AMW0000ua1,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4489900.jpg,MWP2286218+000163B
bubble,-73.89348749999999,0.2193137502193451,0.029807503649079387,0.03530340798806253,314.7,174.21799964904784,47.69200583852702,56.48545278090005,35.35192272459647,0.003180050746659008,0.005423073134507982,,0.009641886884745385,false,0.000625,AMW0000ua1,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4489900.jpg,MWP2286107+000219B
bubble,-73.81664837849934,0.17445,0.017206699123112772,0.01859552649459269,191.75740559895834,246.0,27.530718596980435,29.752842391348306,39.39735076376246,0.005563904317114018,0.0029470477142127405,,0.009043393994375884,false,0.000625,AMW0000ua1,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4489900.jpg,MWP2286183+000174B
bubble,-73.76793958333332,0.2553416666666667,0.01268059954204868,0.00812618748710086,343.5833333333333,66.33333333333333,20.288959267277885,13.001899979361374,50.78079352551251,0.002188987589427283,0.0027910058297443,,0.0035017136603929426,false,0.000625,AMW0000uaa,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4519900.jpg,MWP2286232+000255B
bubble,-73.81613647766113,0.17382205882352944,0.017138089918289308,0.017999337527553953,420.6983642578125,196.76470588235293,27.420943869262892,28.798940044086322,42.96982473574285,0.0038939143459793164,0.00347502035595471,,0.007248059899579137,false,0.000625,AMW0000uaa,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4519900.jpg,MWP2286184+000174B
bubble,-73.62710484216808,-0.2554152842562646,0.010490749779217597,0.010626751364664918,394.1591582298279,278.481516033411,55.95066548916052,56.67600727821289,50.309652119852515,0.0013135395656740647,0.0019954569871805357,,0.0016192404231796386,false,0.0001875,AMW0000pe8,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f48f8000.jpg,MWP2286373-000255B
bubble,-73.69087857142858,-0.26124464285714283,0.006829654919177156,0.005379808981316108,734.2857142857143,309.57142857142856,36.4248262356115,28.692314567019242,25.68855358132329,0.0002834733547569204,0.001342139816008111,,0.002323043019021737,false,0.0001875,AMW0000pe8,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f48f8000.jpg,MWP2286309-000261B
bubble,-72.78568409042356,-0.4565168731689453,0.08803517508151026,0.12146508442803237,271.1072723388672,127.77349853515625,70.42814006520821,97.17206754242589,69.62495424221753,0.009137478603364415,0.009283961569844167,,0.019015392578233745,false,0.00125,AMW0000v7e,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4f99d00.jpg,MWP2287214-000457B
bubble,-72.52773849182131,-0.5907285714285714,0.02727676170432575,0.03818828293513942,64.75079345703125,235.14285714285714,21.8214093634606,30.55062634811154,40.504512861325,0.007123485636894878,0.003243026713056736,,0.012299057892512033,false,0.00125,AMW0000v7e,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4f99d00.jpg,MWP2287472-000591B
bubble,-72.55492499999997,-0.6409071428571428,0.016770999548104955,0.014818539357103205,173.0,150.57142857142858,26.833599276967927,23.709662971365127,18.855181650979166,0.0037648515432692885,0.0028125,,0.00772540271877874,false,0.000625,AMW0000uc6,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4959900.jpg,MWP2287445-000641B
bubble,-72.52564997237812,-0.5856822731104764,0.02572524991928467,0.03245967007436832,126.15995580499822,62.21163697676225,41.16039987085547,51.93547211898931,52.08361572101943,0.004533977890016572,0.006595202585397039,,0.005315858696717383,false,0.000625,AMW0000uc6,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4959900.jpg,MWP2287474-000586B
bubble,-72.4573624993642,-0.6109041666269301,0.019596601577181266,0.02243164520093782,16.899998982747395,102.56666660308838,31.354562523490028,35.89063232150051,49.443610198393245,0.005172292000093252,0.004234345777347702,,0.009007050490870588,false,0.000625,AMW0000uc6,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4959900.jpg,MWP2287543-000611B
bubble,-71.07234051262992,-0.008120096492767341,0.03941226643679654,0.03943619806278401,600.8648202078683,138.11215438842774,63.059626298874456,63.097916900454415,50.45111532229006,0.0029287981796545133,0.005101676470916925,,0.011808884164750432,false,0.000625,AMW0000ufl,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4109a00.jpg,MWP2288928-000008B
bubble,-71.15180034856013,-0.1089835005869631,0.01275545533582477,0.014564391300655618,728.000557696233,299.49360093914095,20.408728537319632,23.303026081048987,42.95487177240514,0.001953668045861132,0.0017938287263146553,,0.0066164395243775995,false,0.000625,AMW0000ufl,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4109a00.jpg,MWP2288848-000109B
bubble,-70.1242240569025,-0.7509294642686843,0.030007594183751193,0.02464965522835246,683.8784910440445,126.60714282989503,48.01215069400191,39.43944836536394,39.6018709531211,0.004581439730101148,0.004602247390992601,,0.009235083381543406,false,0.000625,AMW0000uh6,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4499a00.jpg,MWP2289876-000751B
bubble,-70.11606254426277,-0.8043201612903226,0.016248552000104107,0.014930385234299381,670.82007082047,212.03225806451613,25.99768320016657,23.88861637487901,43.12039063462131,0.003944550139933781,0.006330822476081847,,0.010355563016913283,false,0.000625,AMW0000uh6,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4499a00.jpg,MWP2289884-000804B
bubble,-70.05547881774902,-0.8835187499999999,0.008964329171447618,0.009729100873054326,573.8861083984375,338.75,14.342926674316189,15.566561396886922,16.697971377713795,0.0012387890112063936,0.0011511054822878784,,0.005855673617654545,false,0.000625,AMW0000uh6,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4499a00.jpg,MWP2289945-000884B
bubble,-69.32393736500057,-0.1350589437493256,0.03256729600791723,0.025567119110796753,301.70989200047086,70.60715499946049,26.053836806333788,20.4536952886374,38.7425294551624,0.0063499774657394484,0.008438629044198506,,0.012389311602475422,false,0.00125,AMW0000v8p,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4289e00.jpg,MWP2290676-000135B
bubble,-69.85650265388489,-0.8623,0.06649530615251568,0.06780169352445968,727.7621231079102,252.4,53.196244922012546,54.241354819567746,37.55553477361699,0.005809475019311125,0.005648245419320475,,0.01627537694443984,false,0.00125,AMW0000v8q,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4299e00.jpg,MWP2290143-000862B
bubble,-69.10671477489473,-0.7657062499999999,0.039597135078769344,0.03194660155918071,127.93181991577148,175.125,31.677708063015473,25.557281247344566,57.13695503741115,0.005446062634076633,0.003748275795070866,,0.011038214889009268,false,0.00125,AMW0000v8q,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4299e00.jpg,MWP2290893-000766B
bubble,-69.52348749999999,-0.628425,0.026384254847486042,0.040032917288447205,461.35,65.3,21.107403877988833,32.026333830757764,61.4122484481287,0.0058940294649189985,0.00299087152850135,,0.006153976435908441,false,0.00125,AMW0000v8q,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4299e00.jpg,MWP2290477-000628B
bubble,-69.59179999999998,-0.9326928571428571,0.098858517528981,0.09962377158780608,516.0,308.7142857142857,79.0868140231848,79.69901727024487,32.602845610632336,0.00880087252167972,0.014384055119008223,,0.005411853384693411,false,0.00125,AMW0000v8q,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4299e00.jpg,MWP2290408-000933B
bubble,-69.54621371588871,-1.1926110600774145,0.07689423805845329,0.07656314031022164,479.5309727109712,116.64884806193155,61.51539044676262,61.25051224817731,44.34362673897528,0.01474619069737427,0.008249079653568034,,0.021362596326746336,false,0.00125,AMW0000v8r,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f42a9e00.jpg,MWP2290454-001193B
bubble,-69.2981125006358,-1.3838833333333334,0.04246700626723915,0.02856386460742678,281.0500005086263,269.6666666666667,33.97360501379132,22.851091685941423,25.462382695453616,0.007402139330400818,0.007468161811172983,,0.011476411304336822,false,0.00125,AMW0000v8r,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f42a9e00.jpg,MWP2290702-001384B
bubble,-69.51757698851532,-0.6336468054735436,0.02969058866742975,0.045850352692435606,513.2431816245025,338.9548887576697,47.5049418678876,73.36056430789696,58.72222937921942,0.0056928283806244396,0.005835349445587703,,0.009046447373660133,false,0.000625,AMW0000ui5,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f46c9a00.jpg,MWP2290482-000634B
bubble,-69.21789374999997,-0.5458083322922388,0.02604595972098498,0.024694959993536336,33.75,198.41333166758218,41.67353555357597,39.511935989658134,45.641739171799685,0.0028147816802000175,0.0017090376412153448,,0.00630637352396677,false,0.000625,AMW0000ui5,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f46c9a00.jpg,MWP2290782-000546B
bubble,-69.22032678571429,-0.6067107142857142,0.033544464861705134,0.06708892972341027,37.642857142857146,295.85714285714283,53.671143778728215,107.34228755745643,17.62907306554046,0.006628424541681221,0.006657825238376411,,0.002857659589338116,false,0.000625,AMW0000ui5,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f46c9a00.jpg,MWP2290780-000607B
bubble,-69.63332777777777,-0.6286055555555555,0.02170347084653553,0.03613775915735967,698.4444444444445,330.8888888888889,34.72555335445685,57.82041465177547,36.712292869924426,0.003328446939306345,0.005593323230150789,,0.008761702123175077,false,0.000625,AMW0000ui5,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f46c9a00.jpg,MWP2290367-000629B
bubble,-69.32464488911569,-0.13715504595136938,0.030629814480032262,0.022994075083572867,434.3118225851177,294.328073522191,49.00770316805162,36.79052013371658,36.47158419819728,0.0051094750176074455,0.006992867044699693,,0.006247733648928381,false,0.000625,AMW0000uic,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f4739a00.jpg,MWP2290675-000137B
bubble,-69.32348031956468,-0.13630926320893424,0.036845898123563744,0.02867403987776061,602.688511303493,143.2148211342948,58.95343699770199,45.878463804416974,37.696105181446626,0.003649323266676484,0.004139798113974741,,0.008417019585013038,false,0.000625,AMW0000uim,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f47d9a00.jpg,MWP2290677-000136B
bubble,-69.33683703514737,-0.1447583332935969,0.012923637789509043,0.017042625911864853,624.0592562357584,156.73333326975504,20.67782046321447,27.268201458983764,45.965419675904556,0.000835414080881386,0.0024781134608582505,,0.004798039436465612,false,0.000625,AMW0000uim,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f47d9a00.jpg,MWP2290663-000145B
bubble,-68.93884413282609,-0.7737989951912866,0.03351171214813063,0.030429099482115536,308.5153062608507,56.47919615302925,26.809369718504506,24.34327958569243,53.76432977873249,0.006471107316827945,0.00781690960144096,,0.01736716057468911,false,0.00125,AMW0000v8u,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f42d9e00.jpg,MWP2291061-000774B
bubble,-68.7382,-0.7552833333333333,0.02062422734841396,0.025130602308417606,148.0,41.666666666666664,16.499381878731167,20.104481846734085,41.828377364858845,0.011954775893619532,0.010606601717798212,,0.006221406041996186,false,0.00125,AMW0000v8u,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f42d9e00.jpg,MWP2291262-000755B
bubble,-69.02014128990174,-1.4517416666666667,0.0914239451929411,0.09345710230935796,373.5530319213867,198.83333333333334,73.13915615435288,74.76568184748636,25.359782436820016,0.004139494735673264,0.0060991560106979,,0.014214395292302813,false,0.00125,AMW0000v8v,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f42e9e00.jpg,MWP2290980-001452B
bubble,-69.49142916666665,-1.2492416666666668,0.03574014592552245,0.029725415955133467,750.5833333333334,36.833333333333336,28.59211674041796,23.780332764106774,36.99807225222007,0.004287821902395979,0.004831806511716572,,0.013392799391955213,false,0.00125,AMW0000v8v,http://www.milkywayproject.org/subjects/standard/529e522e4d696359f42e9e00.jpg,MWP2290509-001249B
